机型,章节号,英文说明,说明,所属章号,章号说明
737-678,383300,waste tank quantity indication system,废水量指示,38, 水/废水系统
737-678,384000,air supply,供气,38, 水/废水系统
737-678,384200,water tank pressurization system,水箱增压,38, 水/废水系统
737-678,440000,cabin systems,客舱系统,44, 客舱系统
737-678,441000,cabin core system,客舱核心系统,44, 客舱系统
737-678,442000,inflight entertainment system,空中娱乐系统,44, 客舱系统
737-678,442100,server-based inflight entertainment syst,服务器式空中娱乐系统,44, 客舱系统
737-678,443000,external communication system,外部通讯系统,44, 客舱系统
737-678,443100,telephone system,电话系统,44, 客舱系统
737-678,443300,satellite systems,卫星电话系统,44, 客舱系统
737-678,443500,broadband communication,宽带通信,44, 客舱系统
737-678,444000,cabin mass memory system,客舱大容量存储器,44, 客舱系统
737-678,445000,cabin monitoring system,客舱监视系统,44, 客舱系统
737-678,446000,miscellaneous cabin system,客舱杂项系统,44, 客舱系统
737-678,450000,central maintenance system,中央维护系统,45, 中央维护系统
737-678,451000,cms/aircraft general,cms/飞机总体,45, 中央维护系统
737-678,452000,cms/airframe systems,cms/机身系统,45, 中央维护系统
737-678,453000,cms/airframe systems,cms/机身系统,45, 中央维护系统
737-678,454000,cms/airframe systems,cms/机身系统,45, 中央维护系统
737-678,454500,central maintenance system,中央维护系统,45, 中央维护系统
737-678,455000,cms/structures,cms/结构,45, 中央维护系统
737-678,457000,cms/power plant,cms/动力,45, 中央维护系统
737-678,460000,information systems,信息系统,46, 信息系统
737-678,461000,airplane general information systems,飞机总体信息系统,46, 信息系统
737-678,461100,crew information system,机组信息系统,46, 信息系统
737-678,461300,onboard network system,机上网络系统,46, 信息系统
737-678,461500,efb class 2,2类efb,46, 信息系统
737-678,461900,efb - part 121 operationally approved da,efb-121部操作允许数据,46, 信息系统
737-678,462000,flight deck information systems,驾驶舱信息系统,46, 信息系统
737-678,462100,flight deck computers,驾驶舱计算机,46, 信息系统
737-678,463000,maintenance information systems,维修信息系统,46, 信息系统
737-678,464000,passenger cabin information systems,客舱信息系统,46, 信息系统
737-678,465000,miscellaneous cabin information systems,客舱杂项信息系统,46, 信息系统
737-678,470000,inert gas system,惰性气体系统,47, 惰性气体
737-678,470100,onboard inert gas-generating system,机上惰性气体生成系统,47, 惰性气体
737-678,471000,generation/storage,气体生成/存储,47, 惰性气体
737-678,471100,air separation unit (asu),空气分离组件,47, 惰性气体
737-678,472000,distribution,分配,47, 惰性气体
737-678,472100,nitrogen-enriched air distribution,氮气增强空气分配系统,47, 惰性气体
737-678,473000,control,控制,47, 惰性气体
737-678,473100,nitrogen generation control system,ngs控制系统,47, 惰性气体
737-678,473200,thermal control system,热控制系统,47, 惰性气体
737-678,474000,indicating,指示,47, 惰性气体
737-678,474100,nitrogen generation system indication,ngs指示,47, 惰性气体
737-678,474200,air separation unit indication,空气分离器指示,47, 惰性气体
737-678,474300,thermal control unit,热量控制组件,47, 惰性气体
737-678,490000,airborne auxiliary power,apu,49,APU
737-678,491000,power plant,apu整体,49,APU
737-678,491100,apu power plant,apu本体,49,APU
737-678,491300,apu mounts,防火层,49,APU
737-678,491500,apu air inlet,apu进气系统,49,APU
737-678,491600,apu drains,apu排放系统,49,APU
737-678,491700,apu firewall,动力排放系统,49,APU
737-678,492000,engine,apu动力系统,49,APU
737-678,492100,apu engine,动力部分,49,APU
737-678,493000,engine fuel and control,apu燃油与控制,49,APU
737-678,493100,apu fuel system,apu燃油系统,49,APU
737-678,494000,ignition / starting,apu点火和起动,49,APU
737-678,494100,apu ignition and start system,apu点火和起动,49,APU
737-678,495000,air,apu引气,49,APU
737-678,495200,apu bleed air system,apu引气系统,49,APU
737-678,496000,engine controls,apu控制,49,APU
737-678,496100,apu controls,apu控制系统,49,APU
737-678,497000,indicating,指示系统,49,APU
737-678,497100,egt indicating system,apu 排气温度指示系统,49,APU
737-678,497200,apu indicating system,apu指示系统,49,APU
737-678,498000,indicating,apu排气,49,APU
737-678,498100,apu exhaust system,apu排气系统,49,APU
737-678,499000,oil,apu滑油,49,APU
737-678,499100,apu lubrication system,apu润滑系统,49,APU
737-678,499400,apu oil indicating system,apu滑油指示系统,49,APU
737-678,510000,standard practices and structures,标准工艺和结构,51,结构
737-678,510500,"corrosion, fatigue, and structural inspe","腐蚀,疲劳与结构检查方案",51,结构
737-678,511000,"investigation, cleanup, and aerodynamic","检查,清洁和气动平滑",51,结构
737-678,511100,window and door leaks,门窗泄露检查,51,结构
737-678,512000,processes,过程,51,结构
737-678,512100,interior and exterior finishes,内外饰面,51,结构
737-678,513000,materials,材料,51,结构
737-678,513100,seals and sealing,密封,51,结构
737-678,514000,fasteners,紧固件,51,结构
737-678,514100,airframe drainage,机身排水,51,结构
737-678,515000,support of airplane for repair and align,修理和校装飞机支撑程序,51,结构
737-678,515100,bonded rub pads,粘结橡胶垫,51,结构
737-678,516000,control-surface balancing,舵面平衡控制,51,结构
737-678,517000,repairs,修理,51,结构
737-678,520000,doors,门,52, 舱门
737-678,520500,"corrosion, fatigue, and structural inspe","腐蚀,疲劳与结构检查方案",52, 舱门
737-678,520900,standard door seals,标准门封严,52, 舱门
737-678,521000,passenger / crew,旅客机组门,52, 舱门
737-678,521100,forward entry door,前登机门,52, 舱门
737-678,521300,aft entry door,后登机门,52, 舱门
737-678,522000,emergency exit,应急出口,52, 舱门
737-678,522100,emergency exit hatch,应急出口手柄,52, 舱门
737-678,522200,emergency exit door,应急门,52, 舱门
737-678,522300,midcabin emergency exit door,中舱应急门,52, 舱门
737-678,523000,cargo,货舱,52, 舱门
737-678,523100,cargo compartment doors,货舱门,52, 舱门
737-678,523200,main deck cargo door,主货舱门,52, 舱门
737-678,524000,service,勤务,52, 舱门
737-678,524100,galley service doors,厨房勤务接近口盖,52, 舱门
737-678,524800,e/e and equipment service doors,电子设备舱门,52, 舱门
737-678,524900,miscellaneous exterior service doors,其它外部勤务口盖,52, 舱门
737-678,525000,fixed interior,内部固定门,52, 舱门
737-678,525100,flight compartment door,驾驶舱门,52, 舱门
737-678,526000,entrance stairs,登机梯,52, 舱门
737-678,526100,forward airstair and door,登机梯及门,52, 舱门
737-678,526200,aft airstair assembly,后登机梯系统,52, 舱门
737-678,527000,door warning,门警告,52, 舱门
737-678,527100,door warning system,门警告,52, 舱门
737-678,528000,landing gear doors,起落架舱门,52, 舱门
737-678,530000,fuselage,机身,53, 机身
737-678,530500,"corrosion, fatigue, and structural inspe","腐蚀,疲劳与结构检查方案",53, 机身
737-678,531100,frames and bulkheads,机身与隔舱,53, 机身
737-678,531200,stringers and other longitudinal members,弦与其它纵向结构,53, 机身
737-678,531300,structure around openings,开口周围结构,53, 机身
737-678,531400,wheel well,轮舱,53, 机身
737-678,532000,auxiliary structure,辅助结构,53, 机身
737-678,532100,passenger cabin floors,客舱地板,53, 机身
737-678,532200,fixed partitions,固定隔板,53, 机身
737-678,533000,section 43,43段,53, 机身
737-678,533100,skin,蒙皮,53, 机身
737-678,534000,section 44,44段,53, 机身
737-678,534100,structure attachment fittings,结构连接接头,53, 机身
737-678,534200,equipment attachment fittings,设备连接接头,53, 机身
737-678,535100,fillet fairings,翼身整流罩,53, 机身
737-678,535200,nose radome,雷达罩,53, 机身
737-678,535300,tail cone,尾椎,53, 机身
737-678,535400,broadband radome,宽带天线罩,53, 机身
737-678,540000,nacelles / pylons,短舱/吊舱概述,54, 吊架短舱
737-678,540500,"corrosion, fatigue, and structural inspe","腐蚀,疲劳与结构检查方案",54, 吊架短舱
737-678,541000,nacelle section,短舱区域,54, 吊架短舱
737-678,542000,fan cowl,风扇整流罩,54, 吊架短舱
737-678,543000,fan duct cowl and thrust reverser, ,54, 吊架短舱
737-678,544000,core cowl, ,54, 吊架短舱
737-678,545000,pylon,吊舱,54, 吊架短舱
737-678,545100,strut,吊舱盒,54, 吊架短舱
737-678,545200,strut to wing fairings,吊挂机翼整流罩,54, 吊架短舱
737-678,545300,strut doors and access panels,吊挂接近门及口盖,54, 吊架短舱
737-678,545400,strut fireseal depressor,吊挂防火封严抑制器,54, 吊架短舱
737-678,545500,strut drains and seals,吊挂余油口及封严,54, 吊架短舱
737-678,545600,strut engine mount fittings,吊挂发动机连接接头,54, 吊架短舱
737-678,550000,stabilizers,安定面,55, 安定面
737-678,550500,"rudder - corrosion, fatigue, and structu","腐蚀,疲劳与结构检查方案",55, 安定面
737-678,551000,horizontal stabilizer,水平安定面,55, 安定面
737-678,552000,elevator,升降舵,55, 安定面
737-678,553000,vertical stabilizer,垂直安定面,55, 安定面
737-678,553200,auxiliary structure,辅助结构,55, 安定面
737-678,553300,plates and skin,板及蒙皮,55, 安定面
737-678,553500,vertical stabilizer leading edge,垂直安定面前缘,55, 安定面
737-678,554000,rudder,方向舵,55, 安定面
737-678,560000,windows,窗,56, 窗户
737-678,561000,flight compartment,驾驶舱风挡,56, 窗户
737-678,561100,flight compartment windows,驾驶舱风挡,56, 窗户
737-678,561200,flight compartment sliding windows,驾驶舱活动风挡,56, 窗户
737-678,562000,cabin,客舱窗户,56, 窗户
737-678,562100,passenger cabin windows,客舱窗户,56, 窗户
737-678,562200,automatic overwing exit window,自动翼上撤离窗,56, 窗户
737-678,563000,door,门的窗,56, 窗户
737-678,563100,door-mounted windows,门上窗户,56, 窗户
737-678,564000,inspection and observation,检查与观察窗,56, 窗户
737-678,564100,viewers and observation windows,观察窗,56, 窗户
737-678,570000,wings,机翼,57, 机翼
737-678,570500,"corrosion, fatigue, and structural inspe","腐蚀,疲劳与结构检查方案",57, 机翼
737-678,571000,center wing,中央机翼,57, 机翼
737-678,571100,wing spars,翼梁,57, 机翼
737-678,571200,wing ribs,翼肋,57, 机翼
737-678,571300,wing stringers,翼梁,57, 机翼
737-678,571400,center wing box,中央翼盒,57, 机翼
737-678,571500,landing gear support beam,起落架支撑梁,57, 机翼
737-678,571600,main landing gear support,主起支撑结构,57, 机翼
737-678,572000,outer wing,外侧机翼,57, 机翼
737-678,572100,removable wingtip,可拆卸翼尖,57, 机翼
737-678,572200,winglets,翼稍小翼,57, 机翼
737-678,573000,wing tip,翼尖,57, 机翼
737-678,573200,wing vortex generators,机翼涡流发射器,57, 机翼
737-678,574000,leading edge and leading edge devices,前缘和前缘设备-概要,57, 机翼
737-678,574100,wing leading edge,前缘,57, 机翼
737-678,574200,flight control attach fittings,飞行操纵接头,57, 机翼
737-678,574300,landing gear attach fittings,起落架接头,57, 机翼
737-678,574400,outboard leading edge,前缘外侧,57, 机翼
737-678,575000,trailing edge and trailing edge devices,后缘和后缘设备,57, 机翼
737-678,575200,trailing edge flaps,后缘襟翼,57, 机翼
737-678,575300,leading edge flaps,前缘襟翼,57, 机翼
737-678,575400,leading edge slats,前缘缝翼系统,57, 机翼
737-678,576000,ailerons and elevons,副翼,57, 机翼
737-678,577000,spoilers,扰流板,57, 机翼
737-678,700000,standard practices - engines,标准施工-发动机,70, 标准施工 CFM56-7
737-678,701000,miscellaneous procedures,其它程序,70, 标准施工 CFM56-7
737-678,702000,standard tightening practices,标准紧固程序,70, 标准施工 CFM56-7
737-678,703000,specifications and materials,标准与原料,70, 标准施工 CFM56-7
737-678,704000,standard inspections - engine,标准程序-发动机,70, 标准施工 CFM56-7
737-678,706000,standard equipment,标准设备,70, 标准施工 CFM56-7
737-678,707000,standard checks,标准检查,70, 标准施工 CFM56-7
737-678,710000,power plant,动力装置,71, 动力装置
737-678,711000,cowling,整流罩,71, 动力装置
737-678,711100,engine cowling,发动机整流罩,71, 动力装置
737-678,712000,mounts,吊架,71, 动力装置
737-678,712100,engine mounts,前吊架,71, 动力装置
737-678,713000,fireseals, ,71, 动力装置
737-678,714000,attach fittings,连接装置,71, 动力装置
737-678,715000,electrical harness,导线,71, 动力装置
737-678,715100,electrical harnesses,发动机导线束,71, 动力装置
737-678,716000,air intakes,通气口,71, 动力装置
737-678,717000,engine drains,排放系统,71, 动力装置
737-678,717100,engine vents and drains,燃油通气与排放,71, 动力装置
737-678,720000,engine,发动机,72, 发动机
737-678,722000,air inlet section,风扇,72, 发动机
737-678,722100,fan and booster assembly,风扇和低压压气机装置,72, 发动机
737-678,722200,no.1 and 2 bearing support module,1和2号轴承支撑装置,72, 发动机
737-678,722300,fan frame assembly,风扇框架,72, 发动机
737-678,722400,fan inlet case assembly,风扇进气道,72, 发动机
737-678,723000,compressor section,高压压气机,72, 发动机
737-678,723100,compressor rotor assembly,高压压气机转子,72, 发动机
737-678,723200,high pressure compressor front stator as,高压压气机前静子,72, 发动机
737-678,723300,compressor rear stator assembly,高压压气机后静子,72, 发动机
737-678,724000,combustion section,燃烧室,72, 发动机
737-678,724100,combustion case assembly,燃烧室机匣,72, 发动机
737-678,725000,turbine section,涡轮,72, 发动机
737-678,725100,high pressure turbine assembly,高压涡轮组件,72, 发动机
737-678,725200,high pressure turbine rotor assembly,高压涡轮转子,72, 发动机
737-678,725300,high pressure turbine shroud and stage 1,高压涡轮衬套和1级低压静子,72, 发动机
737-678,725400,low pressure turbine case,lpt涡轮机匣,72, 发动机
737-678,725500,low pressure turbine shaft,lpt轴,72, 发动机
737-678,725600,turbine frame assembly,涡轮框架,72, 发动机
737-678,726000,accessory drives,附件驱动,72, 发动机
737-678,726100,inlet gearbox assembly,进口齿轮箱,72, 发动机
737-678,726200,transfer gearbox assembly,传输齿轮箱,72, 发动机
737-678,726300,accessory gearbox assembly,附件齿轮箱,72, 发动机
737-678,729000,engine module,发动机组件,72, 发动机
737-678,730000,engine fuel and control,发动机燃油和控制,73, 燃油控制
737-678,731000,distribution,发动机燃油分配-总体,73, 燃油控制
737-678,731100,fuel distribution system,发动机燃油分配,73, 燃油控制
737-678,732000,controlling,控制-总体,73, 燃油控制
737-678,732100,full authority digital electronic contro,数字全权电子控制系统(fedac),73, 燃油控制
737-678,733000,indicating,发动机燃油指示,73, 燃油控制
737-678,733100,fuel flow indicating system,燃油流量-指示,73, 燃油控制
737-678,733400,fuel filter bypass warning system,燃油滤堵塞警告系统,73, 燃油控制
737-678,740000,ignition,点火系统,74, 点火系统
737-678,741000,electrical power supply,电源,74, 点火系统
737-678,741100,ignition power supply,点火电源,74, 点火系统
737-678,742000,distribution,点火分配,74, 点火系统
737-678,742100,high tension distribution,高压分配系统,74, 点火系统
737-678,743000,switching,开关,74, 点火系统
737-678,743100,engine ignition control,点火开始和持续点火,74, 点火系统
737-678,750000,air,发动机引气,75, 发动机空气
737-678,751000,engine anti-icing,发动机防冰,75, 发动机空气
737-678,752000,accessory cooling,冷却,75, 发动机空气
737-678,752100,engine external accessories cooling,发动机外部附件冷却,75, 发动机空气
737-678,752300,transient bleed valve,瞬态放气活门,75, 发动机空气
737-678,753000,compressor control,压气机控制,75, 发动机空气
737-678,753100,variable stator vane (vsv) actuation sys,可变静子叶片(vsv)系统,75, 发动机空气
737-678,753200,variable bleed valve (vbv) actuation sys,可变静子叶片(vsv)系统,75, 发动机空气
737-678,754000,indicating,发动机气路指示,75, 发动机空气
737-678,760000,engine controls,发动机控制,76, 发动机控制
737-678,761000,power control,功率控制,76, 发动机控制
737-678,761100,engine control system,发动机控制系统,76, 发动机控制
737-678,762000,emergency shutdown,应急关车,76, 发动机控制
737-678,762100,engine fire emergency shutdown,发动机火警应急关车,76, 发动机控制
737-678,770000,engine indicating,发动机指示,77, 发动机指示
737-678,771000,power,功率指示,77, 发动机指示
737-678,771100,engine tachometer system,转速指示系统,77, 发动机指示
737-678,772000,temperature,温度指示,77, 发动机指示
737-678,772100,exhaust gas temperature (egt) indicating,排气温度指示系统,77, 发动机指示
737-678,772200,compressor temperature indicating system,压气机温度指示系统,77, 发动机指示
737-678,772300,exhaust nozzle temperature indicating sy,排气温度指示系统,77, 发动机指示
737-678,773000,analyzers,分析器,77, 发动机指示
737-678,773100,airborne vibration monitoring (avm) syst,振动监控系统,77, 发动机指示
737-678,774000,integrated engine instrument systems,整体发动机仪表,77, 发动机指示
737-678,780000,exhaust,排气,78, 反推
737-678,781000,collector,收集器,78, 反推
737-678,781100,turbine exhaust system,热排气,78, 反推
737-678,782000,noise supressor,消音器,78, 反推
737-678,783000,thrust reverser,反推系统,78, 反推
737-678,783100,thrust reverser system,反推控制和指示,78, 反推
737-678,783400,thrust reverser control system,反推控制系统,78, 反推
737-678,783600,thrust reverser indicating system,反推位置指示系统,78, 反推
737-678,790000,oil,发动机滑油,79, 发动机滑油
737-678,791000,storage, ,79, 发动机滑油
737-678,791100,oil storage,发动机滑油储存,79, 发动机滑油
737-678,792000,distribution,发动机滑油分配-总体,79, 发动机滑油
737-678,792100,oil distribution,发动机滑油分配,79, 发动机滑油
737-678,793000,indicating,发动机滑油指示,79, 发动机滑油
737-678,793100,oil quantity indicating system,发动机滑油量指示,79, 发动机滑油
737-678,793200,oil pressure indicating system,发动机滑油压力指示系统,79, 发动机滑油
737-678,793300,low oil pressure warning system,滑油低压警告系统,79, 发动机滑油
737-678,793400,oil temperature indicating system,发动机滑油温度指示系统,79, 发动机滑油
737-678,793500,oil scavenge filter bypass warning syste,发动机滑油滤堵塞警告系统,79, 发动机滑油
737-678,800000,starting,发动机起动,80, 发动机启动
737-678,801000,cranking,起动,80, 发动机启动
737-678,801100,engine starting system,发动机启动,80, 发动机启动
737-678,442400,wireless ife system,无线ife系统,44, 客舱系统
737-678,334500,taxi and runway turnoff lights,滑行与跑道转弯灯,33, 灯光系统
737-678,334400,anti-collision lights,防撞灯,33, 灯光系统
737-max,220000,autoflight,自动飞行,22, 自动飞行
737-max,221000,autopilot,自动驾驶,22, 自动飞行
737-max,221100,digital flight control system,数字飞行控制系统,22, 自动飞行
737-max,222000,speed-attitude correction,速度-高度校正,22, 自动飞行
737-max,222300,yaw damper system,偏航阻尼系统,22, 自动飞行
737-max,223000,auto throttle,自动油门,22, 自动飞行
737-max,223100,autothrottle system,自动油门系统,22, 自动飞行
737-max,224000,system monitor,系统监控,22, 自动飞行
737-max,225000,aerodynamic load alleviating, ,22, 自动飞行
737-max,230000,communications,通讯,23, 通信系统
737-max,231000,speech communications,语音通讯,23, 通信系统
737-max,231100,high frequency communication system,高频通讯系统,23, 通信系统
737-max,231200,very high frequency (vhf) communication,甚高频通讯系统,23, 通信系统
737-max,231500,satellite communicatons (satcom) system,卫星通讯系统,23, 通信系统
737-max,232000,data transmission and automatic calling,数据传输和自动呼叫,23, 通信系统
737-max,232400,emergency locator transmitter,应急定位发射系统,23, 通信系统
737-max,232700,aircraft communications and reporting sy,飞机通信寻址与报告系统,23, 通信系统
737-max,232800,selcal system,卫星通讯,23, 通信系统
737-max,233000,"passenger address, entertainment, and co","旅客寻址,广播和娱乐",23, 通信系统
737-max,233100,passenger address system,旅客寻址系统,23, 通信系统
737-max,234000,interphone,内话,23, 通信系统
737-max,234100,service interphone system,服务内话系统,23, 通信系统
737-max,234200,cabin interphone system,客舱内话系统,23, 通信系统
737-max,234300,ground crew call system,地面机组呼叫系统,23, 通信系统
737-max,235000,audio integrating, ,23, 通信系统
737-max,235100,flight interphone system,飞行内话系统,23, 通信系统
737-max,236000,static discharging,静电放电,23, 通信系统
737-max,236100,static dischargers,静电放电刷,23, 通信系统
737-max,237000,audio and video monitoring,音频和视频监控,23, 通信系统
737-max,237100,voice recorder (vr) system,话音记录器,23, 通信系统
737-max,237500,flight deck entry video surveillance sys,驾驶舱入口视频监控系统,23, 通信系统
737-max,238000,integrated automatic tuning,集成自动调谐,23, 通信系统
737-max,238200,flight deck pc power, ,23, 通信系统
737-max,310000,indicating/recording systems,指示/记录系统,31, 仪表系统
737-max,311000,instrument and control panels,仪器和控制面板,31, 仪表系统
737-max,311100,flight compartment panels,驾驶舱面板,31, 仪表系统
737-max,311500,attendants' panels,乘务员面板,31, 仪表系统
737-max,312000,independent instruments,独立设备,31, 仪表系统
737-max,312500,clocks,时钟,31, 仪表系统
737-max,313000,recorders,记录器,31, 仪表系统
737-max,313100,flight data recorder system,飞行数据记录系统,31, 仪表系统
737-max,313300,printer,驾驶舱打印机,31, 仪表系统
737-max,314000,central computers,中央计算机,31, 仪表系统
737-max,315000,central warning systems,中央警告系统,31, 仪表系统
737-max,315100,aural warning system,声音警告系统,31, 仪表系统
737-max,316000,display systems,显示系统,31, 仪表系统
737-max,316500,max display system,显示系统,31, 仪表系统
737-max,317000,automatic data reporting systems,自动数据报告系统,31, 仪表系统
737-max,340000,navigation,导航,34, 导航系统
737-max,341000,flight environment data,飞行环境数据,34, 导航系统
737-max,341100,static and total air pressure system,"皮托管,静压管系统",34, 导航系统
737-max,341300,air data instruments,大气数据仪表,34, 导航系统
737-max,341600,mach airspeed warning system,马赫速度警告系统,34, 导航系统
737-max,342000,attitude and direction,高度与方位,34, 导航系统
737-max,342100,air data inertial reference system,大气数据惯性基准系统,34, 导航系统
737-max,342200,radio magnetic indicator,无线电磁指示器,34, 导航系统
737-max,342300,standby magnetic compass,备用磁罗盘,34, 导航系统
737-max,342400,integrated standby flight display system,综合备用飞行显示系统,34, 导航系统
737-max,343000,landing and taxiing aids,辅助着陆与滑行系统,34, 导航系统
737-max,343100,instrument landing system,仪表着陆系统,34, 导航系统
737-max,343200,marker beacon system,指点信标系统,34, 导航系统
737-max,343300,low range radio altimeter (lrra) system,短距无线电高度表系统,34, 导航系统
737-max,343600,head up display system,抬头显示器,34, 导航系统
737-max,344000,independent position determining,独立位置决策,34, 导航系统
737-max,344100,weather radar (wxr) system,气象雷达系统,34, 导航系统
737-max,344500,traffic alert and collision avoidance sy,交通警告与防撞系统,34, 导航系统
737-max,344900,ground proximity warning system,近地警告系统,34, 导航系统
737-max,345000,dependent position determining,独立位置决策,34, 导航系统
737-max,345100,vor system,vor系统,34, 导航系统
737-max,345300,air traffic control (atc) system,空中交通控制系统,34, 导航系统
737-max,345500,distance measuring equipment system,测距设备系统,34, 导航系统
737-max,345700,automatic direction finder system,自动测向系统,34, 导航系统
737-max,345800,global positioning system,全球定位系统,34, 导航系统
737-max,346000,flight management computing,飞行管理计算机,34, 导航系统
737-max,346100,flight management computer system,飞行管理计算机系统,34, 导航系统
737-max,420000,integrated modular avionics,综合模块化航电设备,42, 综合模块化航电设备
737-max,421000,shared avionics resources,共享电子资源,42, 综合模块化航电设备
737-max,422000,core system,核心系统,42, 综合模块化航电设备
737-max,423000,communication network,通讯网络,42, 综合模块化航电设备
737-max,424000,remote shared resources,远程共享资源,42, 综合模块化航电设备
737-max,440000,cabin systems,客舱系统,44, 客舱系统
737-max,441000,cabin core system,客舱核心系统,44, 客舱系统
737-max,442000,inflight entertainment system,空中娱乐系统,44, 客舱系统
737-max,442100,server based in flight entertainment sys,服务器式空中娱乐系统,44, 客舱系统
737-max,443000,external communication system,外部通讯系统,44, 客舱系统
737-max,443500,broadband communication system,宽带通信,44, 客舱系统
737-max,444000,cabin mass memory system,客舱大容量存储器,44, 客舱系统
737-max,445000,cabin monitoring system,客舱监视系统,44, 客舱系统
737-max,446000,miscellaneous cabin system,客舱杂项系统,44, 客舱系统
737-max,450000,central maintenance system (cms),中央维护系统,45, 中央维护系统
737-max,451000,cms/aircraft general,cms/飞机总体,45, 中央维护系统
737-max,452000,cms/airframe systems,cms/机身系统,45, 中央维护系统
737-max,455000,cms/structures,cms/结构,45, 中央维护系统
737-max,457000,cms/power plant,cms/动力,45, 中央维护系统
737-max,460000,information systems,信息系统,46, 信息系统
737-max,461000,airplane general information systems,飞机总体信息系统,46, 信息系统
737-max,461300,onboard network system,机上网络系统,46, 信息系统
737-max,462000,flight deck information systems,驾驶舱信息系统,46, 信息系统
737-max,463000,maintenance information systems,维修信息系统,46, 信息系统
737-max,464000,passenger cabin information systems,客舱信息系统,46, 信息系统
737-max,465000,miscellaneous cabin information systems,客舱杂项信息系统,46, 信息系统
757-200,220000,auto flight - general,自动飞行,22, 自动飞行
757-200,221000,autopilot,自动驾驶,22, 自动飞行
757-200,221100,autopilot/flight director power,自动驾驶飞行指引电源,22, 自动飞行
757-200,221200,autopilot/flight director pitch channel,自动驾驶/飞行指引俯仰通道,22, 自动飞行
757-200,221300,autopilot/flight director system roll an,自动驾驶/飞行指引横滚和偏航通道,22, 自动飞行
757-200,221400,autopilot/flight director warning and an,自动驾驶/飞行指引警告与告警,22, 自动飞行
757-200,221500,autopilot/flight director interchannel d,自动驾驶/飞行指引通道间数据,22, 自动飞行
757-200,222100,yaw damper system,偏航阻尼系统,22, 自动飞行
757-200,222200,automatic stabilizer trim system,自动安定面配平系统,22, 自动飞行
757-200,222400,mach trim/speed stability,马赫配平/速度稳定,22, 自动飞行
757-200,223100,thrust management power,推力管理电源,22, 自动飞行
757-200,223200,thrust management system,推力管理系统,22, 自动飞行
757-200,223300,thrust management engine, ,22, 自动飞行
757-200,223400,thrust management warning and annunciati,推力管理警告与告警,22, 自动飞行
757-200,224100,maintenance monitor,维护监控,22, 自动飞行
757-200,224200,ils deviation monitor,ils偏离监控,22, 自动飞行
757-200,230000,communications,通讯,23, 通信系统
757-200,231100,hf communication system,高频通讯系统,23, 通信系统
757-200,231200,vhf communication system,甚高频通讯系统,23, 通信系统
757-200,232100,selcal system,选择呼叫系统,23, 通信系统
757-200,232200,acars,飞机通信寻址与报告系统,23, 通信系统
757-200,233100,passenger address system,旅客寻址系统,23, 通信系统
757-200,233200,passenger entertainment (video) system,旅客娱乐(视频)系统,23, 通信系统
757-200,233400,passenger entertainment system,旅客娱乐系统,23, 通信系统
757-200,234100,service interphone system,服务内话系统,23, 通信系统
757-200,234200,cabin interphone system,客舱内话系统,23, 通信系统
757-200,234300,ground crew call system,地面机组呼叫系统,23, 通信系统
757-200,235100,flight interphone system,飞行内话系统,23, 通信系统
757-200,236100,static discharging,静电放电刷,23, 通信系统
757-200,237100,voice recorder system,话音记录器,23, 通信系统
757-200,310000,indicating / recording systems,指示/记录系统,31, 仪表系统
757-200,312500,clocks,时钟,31, 仪表系统
757-200,313100,flight data recorder system,飞行数据记录系统,31, 仪表系统
757-200,314100,engine indication and crew alerting syst,发动机指示与机组警告系统,31, 仪表系统
757-200,315100,warning system,警告系统,31, 仪表系统
757-200,340000,navigation,导航,34, 导航系统
757-200,341100,pitot-static system,"皮托管,静压管系统",34, 导航系统
757-200,341200,air data computing system,大气数据计算系统,34, 导航系统
757-200,341300,air data instruments,大气数据仪表,34, 导航系统
757-200,341600,altitude alert system,高度警告系统,34, 导航系统
757-200,342100,inertial reference system,惯性基准系统,34, 导航系统
757-200,342200,electronic flight instrument system,电子飞行仪表系统,34, 导航系统
757-200,342300,standby magnetic compass,备用磁罗盘,34, 导航系统
757-200,342400,standby attitude reference system,备用高度基准系统,34, 导航系统
757-200,343100,instrument landing system,仪表着陆系统,34, 导航系统
757-200,343200,marker beacon system,指点信标系统,34, 导航系统
757-200,343300,radio altimeter system,无线电高度表系统,34, 导航系统
757-200,344300,weather radar system,气象雷达系统,34, 导航系统
757-200,344500,traffic alert and collision avoidance sy,交通警告与防撞系统,34, 导航系统
757-200,344600,ground proximity warning system,近地警告系统,34, 导航系统
757-200,345100,vor navigation system,vor导航系统,34, 导航系统
757-200,345300,air traffic control (atc) system,空中交通控制系统,34, 导航系统
757-200,345500,dme system,测距设备系统,34, 导航系统
757-200,345700,automatic direction finder system,自动测向系统,34, 导航系统
757-200,345800,global positioning system,全球定位系统,34, 导航系统
757-200,346100,flight management computer system,飞行管理计算机系统,34, 导航系统
787,220000,auto flight,自动飞行,22, 自动飞行
787,221000,autopilot,自动驾驶,22, 自动飞行
787,221100,autopilot flight director system,自动驾驶飞行指引系统,22, 自动飞行
787,222000,speed-attitude correction,速度-高度校正,22, 自动飞行
787,223000,auto throttle,自动油门,22, 自动飞行
787,223100,thrust management system,推力管理系统,22, 自动飞行
787,224000,system monitor,系统监控,22, 自动飞行
787,225000,aerodynamic load alleviating,气动载荷优化,22, 自动飞行
787,230000,communications,通讯,23, 通信系统
